机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
DHH,巴里坤大河机场,大河机场,Balikun Dahe,巴里坤,DHH,新疆维吾尔自治区,中国,机场
URC,乌鲁木齐天山国际机场,乌鲁木齐天山机场,Urumqi Tianshan International Airport,乌鲁木齐,URC,新疆维吾尔自治区,中国,机场
DUD,达尼丁机场,达尼丁机场,Dunedin Airport,但尼丁,DUD,奥塔哥,新西兰,机场
MXP,马尔彭萨机场,马尔彭萨机场,Malpensa Airport,米兰,MIL,伦巴第,意大利,机场
CNN,坎纳诺尔机场,坎纳诺尔机场,Kannur Airport,坎纳诺尔,CNN,喀拉拉邦,印度,机场
PRG,瓦茨拉夫哈维尔国际机场,瓦茨拉夫哈维尔机场,Vaclav Havel Airport,布拉格,PRG,布拉格,捷克,机场
HAN,内排国际机场,内排机场,Noi Bai International Airport,河内,HAN,河内,越南,机场
HSF,绥芬河东宁机场,绥芬河东宁,Suifenhe Dongning Airport,绥芬河,HSF,黑龙江省,中国,机场
AQI,凯苏马机场,凯苏马机场,Qaisumah Airport,柴苏马,AQI,柴苏马,沙特阿拉伯,机场
BWI,巴尔的摩机场,巴尔的摩机场,Baltimore Airport,巴尔的摩,BWI,马里兰州,美国,机场
DSY,七星海国际机场,七星海国际机场,Dara Sakor International Airport,西哈努克城（磅逊）,KOS,西哈努克,柬埔寨,机场
SZB,梳邦机场,梳邦机场,Sultan Abdul Aziz Shah Airport,吉隆坡,KUL,吉隆坡,马来西亚,机场
KBR,苏丹伊斯梅尔佩特拉机场,苏丹伊斯梅尔佩特拉机场,Sultan Ismail Petra Airport,哥打巴鲁(吉兰丹),KBR,吉兰丹,马来西亚,机场
WRO,哥白尼机场,哥白尼机场,Copernicus Airport,弗罗茨瓦夫,WRO,下西里西亚,波兰,机场
CEN,奥夫雷贡城机场,奥夫雷贡城机场,Ciudad Obregon Airport,奥夫雷贡城,CEN,索诺拉,墨西哥,机场
KRL,梨城机场,梨城机场,Korla Airport,库尔勒,KRL,新疆维吾尔自治区,中国,机场
CLJ,克鲁拿波卡机场,克鲁拿波卡机场,Cluj Napoca Airport,克卢日-纳波卡,CLJ,克卢日,罗马尼亚,机场
DUR,沙卡国王国际机场,沙卡国王机场,King Shaka International Airport,德班,DUR,卡哇祖拉—纳塔尔,南非,机场
GEO,切蒂加干国际机场,切蒂加干机场,Cheddi Jagan International Airport,乔治敦,GEO,乔治敦,圭亚那,机场
KRK,克拉科夫机场,克拉科夫机场,Krakow Airport,克拉科夫,KRK,小波兰,波兰,机场
NBJ,安东尼奥·阿戈斯蒂尼奥·内托博士国际机场,安东尼奥·阿戈斯蒂尼奥·内托博士,Dr. Antonio Agostinho Neto International Airport,罗安达,LAD,罗安达,安哥拉,机场
CXR,金兰国际机场,金兰机场,Cam Ranh Airport,芽庄,NHA,庆和,越南,机场
